animals|meta|title|What animal are you?
animals|meta|description|Answer a few questions and find out which animal lives inside you
animals|meta|start_btn|Start
animals|meta|result_title|You are a
animals|meta|share_btn|Share
animals|meta|retry_btn|Try again
animals|meta|progress|Question {current} of {total}
animals|result|lion|name|Lion
animals|result|lion|desc|You were born to lead. Confident, decisive, and protective of those around you. People feel your strength and are drawn to you.
animals|result|lion|trait0|Leadership
animals|result|lion|trait1|Courage
animals|result|lion|trait2|Pride
animals|result|fox|name|Fox
animals|result|fox|desc|You're always one step ahead. You find a way where others see a dead end. Charming and unpredictable.
animals|result|fox|trait0|Cleverness
animals|result|fox|trait1|Charisma
animals|result|fox|trait2|Adaptability
animals|result|wolf|name|Wolf
animals|result|wolf|desc|You value your pack above all. Silent but reliable — people can always count on you in the hardest moments.
animals|result|wolf|trait0|Loyalty
animals|result|wolf|trait1|Instinct
animals|result|wolf|trait2|Resilience
animals|result|owl|name|Owl
animals|result|owl|desc|You think before you act. You see what others miss. Your advice is always precise and well-considered.
animals|result|owl|trait0|Wisdom
animals|result|owl|trait1|Observation
animals|result|owl|trait2|Patience
animals|result|dolphin|name|Dolphin
animals|result|dolphin|desc|You energize everyone around you with positivity. You connect easily with anyone and make the world a little better.
animals|result|dolphin|trait0|Joy
animals|result|dolphin|trait1|Empathy
animals|result|dolphin|trait2|Playfulness
animals|result|eagle|name|Eagle
animals|result|eagle|desc|You see the big picture and never sweat the small stuff. Independent and ambitious — even the sky isn't enough for you.
animals|result|eagle|trait0|Freedom
animals|result|eagle|trait1|Vision
animals|result|eagle|trait2|Independence
animals|result|bear|name|Bear
animals|result|bear|desc|You're a rock for those close to you. You don't shout, but everyone knows they're safe with you. Good-natured, but don't cross the line.
animals|result|bear|trait0|Reliability
animals|result|bear|trait1|Calm
animals|result|bear|trait2|Protection
animals|result|cat|name|Cat
animals|result|cat|desc|You live by your own rules. Cute on the outside, but nobody knows what's on your mind. Graceful and a little mysterious.
animals|result|cat|trait0|Independence
animals|result|cat|trait1|Elegance
animals|result|cat|trait2|Curiosity
animals|result|dog|name|Dog
animals|result|dog|desc|You're the best friend anyone could have. Sincere, loyal, and always there. Your energy and love charge everyone around.
animals|result|dog|trait0|Loyalty
animals|result|dog|trait1|Sincerity
animals|result|dog|trait2|Enthusiasm
animals|result|elephant|name|Elephant
animals|result|elephant|desc|You remember everything and care for everyone. A calm giant with a big heart — your presence is soothing.
animals|result|elephant|trait0|Memory
animals|result|elephant|trait1|Wisdom
animals|result|elephant|trait2|Care
animals|result|cheetah|name|Cheetah
animals|result|cheetah|desc|You act in a flash. When you have a goal — nothing can stop you. You live in the moment and love the speed.
animals|result|cheetah|trait0|Speed
animals|result|cheetah|trait1|Focus
animals|result|cheetah|trait2|Decisiveness
animals|result|penguin|name|Penguin
animals|result|penguin|desc|Funny but serious when needed. You care for those close to you and never abandon your team in a tough moment.
animals|result|penguin|trait0|Loyalty
animals|result|penguin|trait1|Teamwork
animals|result|penguin|trait2|Humor
animals|result|octopus|name|Octopus
animals|result|octopus|desc|You think in multiple directions at once. An unconventional approach is your superpower. You never follow a template.
animals|result|octopus|trait0|Intelligence
animals|result|octopus|trait1|Flexibility
animals|result|octopus|trait2|Creativity
animals|result|butterfly|name|Butterfly
animals|result|butterfly|desc|You're constantly changing and becoming a better version of yourself. Your presence inspires and brings joy.
animals|result|butterfly|trait0|Transformation
animals|result|butterfly|trait1|Beauty
animals|result|butterfly|trait2|Lightness
animals|result|parrot|name|Parrot
animals|result|parrot|desc|You're never silent and fill any room with color. Social, vibrant, and always at the center of attention.
animals|result|parrot|trait0|Communication
animals|result|parrot|trait1|Vibrancy
animals|result|parrot|trait2|Sociability
animals|result|turtle|name|Turtle
animals|result|turtle|desc|You don't rush, but you always reach your goal. Your slow and steady pace takes you further than any sprint.
animals|result|turtle|trait0|Wisdom
animals|result|turtle|trait1|Patience
animals|result|turtle|trait2|Steadiness
animals|result|horse|name|Horse
animals|result|horse|desc|You can't stand being caged. Strong, free, and passionate — nothing can stop you when you're racing toward your dream.
animals|result|horse|trait0|Freedom
animals|result|horse|trait1|Pride
animals|result|horse|trait2|Strength
animals|result|peacock|name|Peacock
animals|result|peacock|desc|You're not afraid to stand out. You know your worth and aren't shy about showing it. Your style is your message to the world.
animals|result|peacock|trait0|Self-expression
animals|result|peacock|trait1|Beauty
animals|result|peacock|trait2|Confidence
animals|result|rabbit|name|Rabbit
animals|result|rabbit|desc|You're sensitive and attentive to detail. Quick to react, a good listener, and you treasure comfort and the people close to you.
animals|result|rabbit|trait0|Quickness
animals|result|rabbit|trait1|Gentleness
animals|result|rabbit|trait2|Caution
animals|result|tiger|name|Tiger
animals|result|tiger|desc|You combine beauty and danger. Passionate and unpredictable — you act on instinct and always win.
animals|result|tiger|trait0|Passion
animals|result|tiger|trait1|Strength
animals|result|tiger|trait2|Independence
animals|result|monkey|name|Monkey
animals|result|monkey|desc|Sitting still bores you. Forever curious, funny, and nimble — you're the one who brings any gathering to life.
animals|result|monkey|trait0|Curiosity
animals|result|monkey|trait1|Humor
animals|result|monkey|trait2|Agility
animals|result|flamingo|name|Flamingo
animals|result|flamingo|desc|You stand your ground even when it's uncomfortable. Elegant and unique — you're not like everyone else, and you're proud of it.
animals|result|flamingo|trait0|Elegance
animals|result|flamingo|trait1|Balance
animals|result|flamingo|trait2|Uniqueness
animals|result|shark|name|Shark
animals|result|shark|desc|You never stop moving. Goal-driven and cool-headed — nothing can throw you off course.
animals|result|shark|trait0|Decisiveness
animals|result|shark|trait1|Focus
animals|result|shark|trait2|Ambition
animals|result|deer|name|Deer
animals|result|deer|desc|You sense the mood of a room before you even enter. Gentle and attentive — people always feel calm around you.
animals|result|deer|trait0|Grace
animals|result|deer|trait1|Sensitivity
animals|result|deer|trait2|Intuition
animals|result|crow|name|Crow
animals|result|crow|desc|You see more than you show. A sharp mind and memory for detail make you an unbeatable strategist.
animals|result|crow|trait0|Intelligence
animals|result|crow|trait1|Observation
animals|result|crow|trait2|Cunning
animals|result|otter|name|Otter
animals|result|otter|desc|You turn the everyday into an adventure. Always in a good mood, loving to those close to you, and squeezing the most out of life.
animals|result|otter|trait0|Playfulness
animals|result|otter|trait1|Warmth
animals|result|otter|trait2|Curiosity
animals|result|snow_leopard|name|Snow Leopard
animals|result|snow_leopard|desc|You rarely show yourself fully. Mysterious and self-sufficient — those who truly know you consider it a privilege.
animals|result|snow_leopard|trait0|Mystery
animals|result|snow_leopard|trait1|Self-sufficiency
animals|result|snow_leopard|trait2|Grace
animals|result|panda|name|Panda
animals|result|panda|desc|You radiate calm and harmony. Gentle and balanced — everything feels simpler and warmer when you're around.
animals|result|panda|trait0|Calm
animals|result|panda|trait1|Kindness
animals|result|panda|trait2|Balance
animals|result|chameleon|name|Chameleon
animals|result|chameleon|desc|You adapt to any situation. Observant and versatile — you see what others miss and always find your place.
animals|result|chameleon|trait0|Adaptability
animals|result|chameleon|trait1|Observation
animals|result|chameleon|trait2|Versatility
animals|result|hedgehog|name|Hedgehog
animals|result|hedgehog|desc|You're prickly on the outside but warm on the inside. Cautious with new people, but the coziest soul for those close to you.
animals|result|hedgehog|trait0|Coziness
animals|result|hedgehog|trait1|Caution
animals|result|hedgehog|trait2|Warmth
animals|result|swan|name|Swan
animals|result|swan|desc|You're graceful and elegant in everything you do. Loyal in love and capable of deep transformation — your beauty comes from within.
animals|result|swan|trait0|Grace
animals|result|swan|trait1|Loyalty
